,titles,starRatings,monthOfTravel,yearOfTravel,author,reviews,dateResp,managers,responses
843,"Great location, but overpriced",2,12,2020,Sjoerd Murris,"For Mexican standards quite expensive and althought the location is amazing in the heart of Guanajuato, the service could definitely be improved. The staff was a little unfriendly and the bathroom had an odd smell. Which is ok for a hostel, but not for a hotel like this. Not the worst experience, but would not recommend it either.","Responded May 5, 2021","Response from Reservaciones Gpo Leyendas, Atención al huésped/Recepción at Hotel La Casona de Don LucasResponded May 5, 2021","Dear Guests, Thank you for your comments: it is always good to hear your remarks so we can fix the things we can. Please visit again, and you will see how your comments help us improve!"
844,Beautiful Hotel housed in Traditional Architecture,5,12,2020,teddy1014,"Although on a busy streets, the interior of the hotel is very quiet; you do sporadically hear revelers in the middle of the night though. Hotel is in a very old building, and the beautiful architecture reflects that. No issue with check in/out, breakfast was good. Steps away from the main square in Guanajuato, so you're walking distance to everything in town. Loved our stay.","Responded May 5, 2021","Response from Reservaciones Gpo Leyendas, Atención al huésped/Recepción at Hotel La Casona de Don LucasResponded May 5, 2021","Thank you so much for your nice comments, we are glad than you had have a best experience in this time, for us is so important than you have all the best attention"
845,Highly recommended,4,10,2020,Gianfranco Martinez,"Very well located, friendly staff, rooms are big and comfortable, love the colonial architecture of the hotel. Walking distance to the main attractions. Breakfast was delicious, very friendly atmosphere.","Responded May 5, 2021","Response from Reservaciones Gpo Leyendas, Atención al huésped/Recepción at Hotel La Casona de Don LucasResponded May 5, 2021","Thank you so much for all your kind words! In hospitality business, the very best reward is to know our guests appreciated the care we give! Please come visit again.  "
846,Best Hotel,5,10,2020,Felipe L,"Best hotel choice i have made, the hotel is right in the center town and its walking distance from all attractions. Monica at the front desk is amazing she always willing to help and acomódate my family’s necessities. Lets talk about the breakfast amazing, always had a choice of foods and there coffee is so good also there beads are like heaven i did not want to leave the bed in the morning. The hotel takes all precautions with pandemic  and staff is always willing to help. Its a family oriented hotel and safe.","Responded May 5, 2021","Response from Reservaciones Gpo Leyendas, Atención al huésped/Recepción at Hotel La Casona de Don LucasResponded May 5, 2021","Thank you so much for your nice comments, we are glad than you had have a best experience in this time, for us is so important than you have all the best attention.  We hope you can come back very soon."
847,Great Hotel,5,9,2020,Albie,"This is the third time I stay here with no regrets. Great location, staff is amazing, breakfast is good, rooms are spacious. The only minor issue was the water pressure in the shower. Other then that, it was great! ","Responded May 5, 2021","Response from Reservaciones Gpo Leyendas, Atención al huésped/Recepción at Hotel La Casona de Don LucasResponded May 5, 2021",Gracias! We appriciate your kind remarks about Hotel Casona de Don Lucas  especially that you will soon be back! We do consider our guests like family. It is a pleasure to have you stay with us!
848,average,3,5,2022,electra2015,my experiences from these hotels has been positive so far. this one stands out because i think the owners dont pay attention to it. the bathroom had no warm water or adequate water flow. it was spacious yes but i also wanted to bathe. the breakfast area is in the center of the establishment and only has natural light from the top which is 7 ? stories high. so if you have and early morning the area is not adequately lit. also the breakfast bouffet is lacking in choice. very few things offered. the bed excellent as always. for me 2 were the worst elements: i tried to talk to receptionist over the phone and he didnt speak english well and i found a cockroach in the restroom at the reception area. i know this is a hotel for short stay but isnt the goal of every hotel to have people converging no matter what?…,Responded 1 week ago,"Response from IHG Service, Owner at Holiday Inn Express Guanajuato, an IHG HotelResponded 1 week ago","Hello electra2015,  Thanks for leaving your review on our property. We will definitely use it to improve our service and facilities. I want to apologize for any shortcomings you might have come across. Don't worry. I have forwarded your review to our management for further attention. Nothing makes us happier than delivering the best experience.  We are delighted to see you have chosen us for your stay. I hope you visit again in the future and give us a chance to show you the adjustments we've made to improve.  See you around!  Alejandro G. Case Manager. IHGService."
849,Second time around ,3,8,2021,golflover26,"This is our second stay at this hotel. The first one was around six years ago. The overall appearance is nice.  It’s a little distant from the downtown. You have to take a taxi which costs approximately 70 pesos each way.  The room was very spacious and the bed comfortable but it but looks a little worn out, especially the bathrooms. What really dissatisfied me was that I took a shower and used a towel that was stained. Didn’t notice until I used it.  The breakfast wasn’t as good as it used to be.  They just had white bread and there was no toaster. No butter, no jelly.  Plain scrambled eggs.   In conclusion, I hope that they do a whole remodeling soon and that they improve the breakfast. ","Responded Dec 15, 2021","Response from IHG Service, Owner at Holiday Inn Express Guanajuato, an IHG HotelResponded Dec 15, 2021","Dear golflover26,   I appreciate you for sharing your review about your recent stay.  I am very sorry that you did not experience an exemplary hotel stay due to the stained towel, the worn look of our bathroom and the quality of our breakfast. This is certainly below our usual high standard of service. Please be assured that I have noted and forwarded your comments for the management to improve. In the midst of the inconvenience, I am glad to know that our spacious room and our comfortable beds were still appreciated.	 					  I very much hope that you will grant us the opportunity to prove ourselves again.  Best Regards,  Ben W. Case Manager IHGService"
850,"Beautiful, convenient, older hotel",4,12,2019,melsigue,"Beautiful, but older hotel, convenient location, across the street from La Vaca Argentina Restaurant (AMAZING!). Bathrooms in need of updates. Staff needs mentoring, patrons first, private conversations second.","Responded Dec 5, 2019","Response from Francisco D, General Manager at Holiday Inn Express Guanajuato, an IHG HotelResponded Dec 5, 2019","Dear MELSIGUE,  Thank you for taking the time to tell us about your experience at Holiday Inn Express GUANAJUATO.  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Again, thank you for choosing Holiday Inn Express,  Sincerely, FRAN DOLORES Gerente General "
851,Basic Hotel,3,11,2018,Gilberto N,"Basic hotel with some amenities, close to Guanajuato downtown, breakfast is good with fresh fruit  juice and popular Mexican dishes. Right next to the hotel there is an Applebee's and right across the hotel there     is a plaza with fine dining restaurant","Responded Nov 23, 2018","Response from Francisco D, General Manager at Holiday Inn Express Guanajuato, an IHG HotelResponded Nov 23, 2018","Esteemed GILBERTO N,  Thank you for taking the time to tell us about your experience at Holiday Inn Express GUANAJUATO.  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Again, thank you for choosing Holiday Inn Express,  Sincerely, FRANCISCO DOLORES General Manager "
852,Cervantino Vac,5,10,2018,Lettie Sierra H,"We stayed here 3 nites, the room we got was better than expected, first floor with French doors to the  indoor pool, the pool gated, we traveled with 2 kids, so it was perfect! The hotel has a little play area. Service was great, the staff was very helpful, breakfast was buffet style. We were very happy with all the services.","Responded Oct 31, 2018","Response from Francisco D, General Manager at Holiday Inn Express Guanajuato, an IHG HotelResponded Oct 31, 2018","Esteemed LETTIE SIERRA,   Thank you for taking the time to tell us about your experience at Holiday Inn Express GUANAJUATO.  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Again, thank you for choosing Holiday Inn Express,  Sincerely, FRANCISCO DOLORES General Manager  "
853,Amazing location and staff!,5,2,2022,BerthaAnel,"Amazing and helpful staff. All so friendly and courteous.  Reached out to them via WhatsApp and they were always prompt and fast in reply. Visited Guanajuato for my boyfriends birthday and Carol and Karmen helped set something up for him in the room. He loved it! It was such an amazing details from the staff. Our housekeeper Magda left our room so neat every day.  The staff was super  friendly!   The location is amazing. I had read some reviews about the church bells and I was a little nervous about it but honestly, the bells aren’t super loud. They sound very lightly in the background. Casa virreyes is in walking distance of the plaza de union, teatro Juarez, callejón de beso, pipila funicular, food, restaurants. Honestly loved how everything was walking distance and took a couple of tours from the centro.   The staff, the location and the friendliness is amazing. Will definitely stay again when I visit Guanajuato.    Great job casa virreyes staff!…","Responded Mar 14, 2022","Response from PJs Marketing Mexico, Sales at Hotel Casa VirreyesResponded Mar 14, 2022","Dear guests: We appreciate your review very much, we are always happy to learn our guests enjoy their experience with us and we hope to be of service once again in the near future. "
854,HIGHLY NOISY,1,10,2021,KrysMP,"DO NOT STAY HERE. The bells from the church sound loud and clear right in your ear, EVERY 15 MINS. Even the hotel gives you earplugs in the amenities basket, but they do not tell you about the noise. The parking is 10 mins away by car, and they tell you to take a taxi to bring you back to the hotel. TERRIBLE EXPERIENCE. Plus the hotel is very basic, 2 star if you remove the noise part. NOT WORTH THE PRICE AT ALL.","Responded Nov 24, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Ventas at Hotel Casa VirreyesResponded Nov 24, 2021","Dear guest: Thank you for your comments, we are sorry you were not able to enjoy your stay with us. The description of the location of the hotel is well explained on our website, Guanajuato is a wonderful city and known amongst many things for its marvelous churches and cathedrals. "
855,Right in the Middle of Historic Guanajuto,5,2,2021,Sundncr,"Location could not be any better.  It is right in the middle of the historic center of Guanajuoto.  One can walk from here to all the important tourist sites in Guanajuoto.  The hotel is across the street from the main cathedral, lots of restaurants around and the main park is a couple of blocks walk.  On New Years eve, I could see the fireworks from around the hotel.  The staff arranges a car to pick you up from the airport.  I got a room on the ground floor.  It was not heated but a comfortable sleep.  The front desk are helpful.   The rooms were well cleaned and the noise from the neighborhood did not bother me as it was Covid times and places closed early.   It is pretty safe.    Just need to know some Spanish as the guests were mostly local people.   In front of the hotel, you can book tours around Guanajuoto and it was fun to walk around the area.  The hotel provides a continental breakfast in the morning included in the room rate.  WiFi is only in the dining area and you cannot access it from the room.…","Responded Mar 1, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Ventas at Hotel Casa VirreyesResponded Mar 1, 2021","Dear guest: Thank you so much for your comments, we are happy to learn you enjoyed your stay with us and hope we can have the pleasure of serving you again."
856,Perfect for family ,5,8,2019,ani c,"This hotel boutique is very nice , the building is very welcoming and the rooms are very spacious and clean , only inconvenience you may find is that the rooms doesn’t had any AC , the fans did it for us and we went in August so I am assuming it doesn’t get extremely hot here , but if you can’t sleep without AC look for a different option . Also the hotel is right next to the Basilica so the church bells are really loud , specially when they ring at 7 am 😂, but well is part of the tradition of this town so for most people won’t be a big inconvenience . Overall this place is great and I think it deserve a 5 👍","Responded Sep 9, 2019","Response from PJsMM, Director Comercial at Hotel Casa VirreyesResponded Sep 9, 2019","Dear guests: Thank you so much for your comments and for your recommendation. We would love to be of service in the future, looking forward to your next visit."
857,Enjoyed our 2 night stay!,4,4,2019,wishiwasrich,"We stayed for 2 nights at Hotel Casa Virreyes.  The 2nd floor King room was comfortable and thankfully quiet (we were there during the week)  our room faced an interior courtyard area.  The windows let in plenty of natural light although guests need to use the sheer curtains during the day for privacy.  The staff was very friendly and helpful (**English is not spoken**). The hot water was very slow to arrive to the shower; however, once it did arrive it was plentiful.  Great location, walking distance to all tourist hot spots, restaurants, cafes, bars  and bakeries!","Responded Apr 3, 2019","Response from PJsMM, Director of Sales at Hotel Casa VirreyesResponded Apr 3, 2019","Dear guests: Thank you for your comments, so glad to know you enjoyed your stay and hope you return in the near future, it will be our pleasure to have you with us again."
858,Take your Ear Plugs!,3,12,2018,jothvn,"This is a beautiful old hotel right on the main square, but the noise from the cathedral bells and partying in the street make sleep almost impossible.   Breakfast was mediocre and some of the staff were indifferent.   The rooms that we had, looking out over the square and with access to a rooftop space, were spacious and clean but obviously not restful.","Responded Dec 13, 2018","Response from PJsMM, Director Comercial at Hotel Casa VirreyesResponded Dec 13, 2018","Dear guests: Thank you for your comments, we hope you had enjoyed your stay and regret the inconvenience of the church bells. Hope to be of service in the future."
859,Guanajuato trip ,3,10,2018,Virisabe,"We were happy with the accommodation, it has: -amazing view. -nice service. -basic breakfast. -medium quality WiFi. -free parking 10 min away (ask the hotel where is it) . Ideal for a quick trip, because you spend all day long outside! . The only thing is the rooms who are facing the plaza have a lot a lot a lot of noice at night ! So we couldn’t sleep properly. Recommendations ask for a room with an inside window. ","Responded Nov 12, 2018","Response from PJsMM, Director Comercial at Hotel Casa VirreyesResponded Nov 12, 2018","Dear guest: Thank you for your comments, we are happy to know you enjoyed your stay with us, please do visit us again."
860,Great location in a beautiful hotel,4,6,2018,Danny S,Casa Virreyes is right off of Plaza de la Paz near all the shops and restaurants. The staff was friendly and our room was very big. The only issue are the church bells that go off every 15 minutes so bring ear plugs!,"Responded Jul 23, 2018","Response from PJsMM, Director Comercial at Hotel Casa VirreyesResponded Jul 23, 2018","Dear guest:  Thank you for your comments, we are happy to know you enjoyed our services, we hope to be the hotel of your choice next time you visit Guanajuato."
861,Great location,4,6,2018,LeeHamm,"Casa Virreyes is centrally located, near the Plaza de la Paz, within walking distance of many restaurants and cafes. It was recommended to me, by a friend who lived in an apartment in one of the houses, many years ago. Two houses were combined to form the hotel. There is a central open space with a stained glass window skylight. The architecture is impressive but, as other reviewers have written, some of the rooms are dark and crowded, not at all like the bright, open rooms shown on the hotel's website.  There is a rooftop terrace with great views and some rooms have balconies. The inside-looking rooms are very quiet at night, though with very little natural light or ventilation, in the day.  Breakfast is served in the small restaurant downstairs. A sparse buffet is included but cooked breakfast is a small extra cost.  Parking is difficult with this hotel. You can park for free at another hotel some distance away or you can leave your vehicle in a 24 hour parking lot, some 10 minutes' walk away. This place charges $16 pesos per hour for every hour. I have to think the hotel could arrange an overnight fee with them and maybe offer a valet service. Driving in Guanajuato is difficult for people who are not familiar with the city, its one-way system and tunnels.  This is a nice hotel, though not inexpensive. Service was pleasant but, sorry Americans, you may need to speak some Spanish! There are usually lots of students around to help you navigate and communicate. Guanajuato is a lot more tourist-friendly than it used to be, with great coffee shops, lunch cafes and restaurants. Beware the crowds in October for the Cervantino festival!…","Responded Jun 21, 2018","Response from PJsMM, Director Comercial at Hotel Casa VirreyesResponded Jun 21, 2018","Dear guest: Thank you so much for your review, we are so happy to learn you enjoyed your stay with us and hope to be of service in the future."
862,Did not meet expectations,2,4,2018,ardenvalia,"We travelled with another couple, who booked this hotel via an online service, but the hotel was a big disappointment for us: 1. The hotel booking service policy was to pay on arrival (booked by the other couple). However, when we arrived, the total amount for both rooms was taken from the other couple's credit card (without authorization). This left a nice accounting mess for me to pay the other couple. 2. The receptionist spoke zero English. Really, a ""four-star"" hotel, where nobody at the font desk speaks English, although all the street ""poncho"" salespeople speak English.  3. The hotel booking site gave the impression that rooms had balconies with nice views of the city below. No such thing. Our room was on the first floor, with no balcony and only one window facing the inside corridor.  4. Room was hot and stuffy. No air-conditioner, only a fan. 5. When we arrived the first night, NO HOT WATER 6. The next morning, hotel water after we let the water run 10 minutes. 7. Very small TV 8. No refrigerador 9. Continental breakfast with AWFUL coffee. Seems like it was instant coffee, watered-down. Practically undrinkable. 10. NO INTERNET! We were on the ground floor, and an internet connection was available only sporadically. The lobby room was crowded with guests using the lobby  internet.  In fairness, the hotel did offer some advantages: 1. Excellent location -- smack in the center of the city. 2. Quiet. Other hotels in the area were next to bars with mariachi bands playing late into the night. 3. King-sized beds.  If one can get a guaranteed room in the upper floors, conditions are apparently better (internet)…","Responded May 4, 2018","Response from PJsMM, Director Comercial at Hotel Casa VirreyesResponded May 4, 2018","Dear guest: Thank you for your comments, we are sorry to hear your were not completely satisfied with our hotel. We hope to have the opportunity of serving you again."
863,Hidden little gem in the heart of Guanajuato,5,11,2021,Stacey L,"My husband and I stayed at La Notaría for a week and a half this past summer and had a lovely vacation. We got to know the staff, the owners, and the even the owners' families! Here are the highlights and a few minor areas of improvement we discovered during our stay. Overall, we highly recommend this charming little boutique hotel nestled in the heart of Guanajuato.  PROS:  -GREAT LOCATION-Smack dab in the center of downtown Guanajuato. The city is located in a bowl-shaped valley. La Notaría is located in the flat bottom so no awkward or steep hills to navigate. Great location for walking to all the popular sights.  -EXCELLENT SERVICE-Staff at the Rooftop Bar are especially prescient. They’ll remember special drinks and preferences and have cocktails ready the minute you sit down. Shout out to Jacobo & Enrique who made us feel especially welcome and comfortable!  -Newly remodeled rooms with modern furniture.  -Very responsive staff-Any room issues are addressed quickly.  -Locally owned-One of the owners are usually on the property, are very approachable, and are always overseeing the satisfaction of the guests.  -FANTASTIC rooftop bar-Staff will try to accommodate drink AND music requests. (Another shout out to Jacobo!) We had a longer stay so the bar stocked the ingredients for my favorite cocktail! They also let my husband stream his favorite playlists over their speaker system. Really fun and relaxed place with beautiful views. I recommend a visit even if you’re not staying at the hotel.  -Affordable rates-Especially if you book directly with the hotel.  -Fans in all of the rooms  -Daily housekeeping  -Good in-room pod coffee makers  -In-house coffee shop  -Breakfast vouchers at a great restaurant-Casa Valadez is very good and just around the block from the hotel.  CONS:  -Hotel is located inside of an older building with some issues- I think this comes with the territory when lodging downtown where many of the building are over 100 hundred years old.  We had small issues with a leak & power outages during a rainstorm, and water from the fixtures was slow to heat up.  -Lack of storage inside rooms-Would have loved to have more drawers/shelves in the furniture, a full length wardrobe with hanging space for dresses (there aren't any closets) and some shelves and hooks on the walls.  -Majority of staff doesn’t speak English-All of management speaks English but difficult to communicate with daily staff if you’re an English-only speaking tourist.  -Very loud night club across the street-How the loud music affects you depends on the location of your room. When booking our stay, the hotel was very upfront about this and was strategic about assigning our rooms. We were still able to sleep soundly once we closed the windows and doors and with the help of the white noise from the fans.…","Responded Mar 4, 2022","Response from Bernardo Calzada Nájera, Propietario at La Notaría HotelResponded Mar 4, 2022","Hola Stacey, thank you for your comments, they help us to improve our service and facilities. We are very happy you had a wonderful stay and we are looking forward to have you and your husband again in the future!"
864,Guanajuato Trip,5,11,2020,Randy Eckert,"If you ever go to Guanajuato, be sure to stay at La Notaria! This beautiful six bedroom bed and breakfast boutique hotel in the heart of Guanajuato is the perfect place to stay! Next door to Teatro Juarez, La Notaria is within walking distance from the El Pípila statue and the University of Guanajuato, as well as the central square. Surrounded by great restaurants and nightspots, it is ideally located. The staff are friendly and very responsive, and the rooms are quiet and very comfortable. The highlight of the hotel is the rooftop terrace bar! Beautiful views, great music and the best drinks in town!","Responded Nov 11, 2020","Response from ALEX CALZADA, Director General at La Notaría HotelResponded Nov 11, 2020",Thank you for your comments! We´re delighted you had a wonderful stay and are looking forward to hosting you again in the future!
865,We will be back !,5,4,2022,Griselda M,"This beautiful hotel is located in center of everything. Walking distance from pretty much everything.  My husband and I stayed at Hotel Edelmira for two nights. Great cutomer support from beginning to end of the process. The team were really informed and went the extra mile at every stage. Jose our bellman was very friendly, patient and helpful in helping us throughout our stay. If you stay at Edelmira Hotel please be sure to check out the spa! The atmosphere at the spa is so relaxing and beautiful.  We highly recommend this place.",Responded 1 week ago,"Response from PJs Marketing Mexico, Agencia/Consultora at Edelmira Hotel BoutiqueResponded 1 week ago","Dear guest: Thank you for your review, we are certain other travelers will appreciate it as much as we do. We hope to be of service once again in the future."
866,Room 106,3,2,2022,alexoctavio12,Stayed there on the 16th and checked out on the 17th. The room that my parents stayed in was 106 and they had a terrible experience. There was a rowdy/loud group of people who came in the middle of the night and they could not sleep all night.  Room 106 is in a terrible location right above the lobby and you can hear everything.  Beautiful hotel but this left a bad taste. ,"Responded Mar 14, 2022","Response from PJs Marketing Mexico, Agency / Consultant at Edelmira Hotel BoutiqueResponded Mar 14, 2022","Dear guest: Thank you for your review, we are sorry you were inconvenienced by other guests, you can rest assured that we do our best to maintain the noise as low as possible, but sometimes it can go out of our hands, We hope to have the opportunity of serving you again."
867,Never again.,2,1,2022,nancy m,Looks nice from the outside but unfortunately once inside it doesn’t compare. The room are dark. The windows don’t open and the air conditioning didn’t work.  An Airbnb will be better then paying so much for so little. I requested a three day stay but after being there for one night I was unhappy I found a cheaper hotel and much nicer inside and out that I left. The hotel didn’t give me my money back. I will never recommend this place to any of my friends,"Responded Jan 24, 2022","Response from Maria Isabel Diaz Becerra, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Jan 24, 2022","Dear guest: Thank you for your comments, we regret our service and premises were not up to your standards. We strive to provide the best service possible to our guests by offering alternative accommodations, we are sorry you preferred to leave."
868,Lovely hotel In city center Guanajuato,4,12,2021,Lynda K,Room was very nice and the hotel was very helpful getting a taxi for me to the GTO airport. Everything is walkable in the city center. Room was comfortable and quiet and very clean. I would caution anyone that has problems with steps and luggage as my room was down 3 steps and then up 3 steps. Not a problem for me but might be for others.,"Responded Jan 5, 2022","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Jan 5, 2022","Dear guest: Thank you so much for your kind review, we hope to have the opportunity of hosting you again in the future."
869,Cold Hot Tub!!!,2,9,2021,wendyaceves21,We had a bad experience with the hot tub the water was super cold not hot at all when we called front desk they said it was on as hot as they had available it was cold water never hot not sure if it wasn’t working or if they where to lazy to take a look at it ,"Responded Sep 17, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Sep 17, 2021","Dear guest: Thank you for your comment, we are sorry for the inconvenience, rest assured that our staff is ready and eager to always assist and make our guests stay as comfortable as possible. It is hard at this point to measure the intensity of how hot the water was, but the management will be notified and will look into the matter. Thank you and we hope you can visit us again soon."
870,"Solid choice, nothing spectacular",3,8,2021,BarrioTravelers,"Its biggest asset is where it sits, right in the heart of the action. Rooms are very basic, they could use a remodel, but if you're not going to be there all day, it does the job. Bed was comfortable, WiFi worked great. Staff fantastic. Breakfast was also very good, a la carte items. But say you order pancakes, and you want scrambled eggs, you have to pay extra for them and vice versa. COVID-19 safety protocols followed and enforced.","Responded Sep 7, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Sep 7, 2021","Dear guest: Thank you for your review, we are so happy to hear you enjoyed your stay with us. We certainly appreciate your recommendations which are always considered by the administration. We look forward to seeing you again in Guanajuato."
871,POOR QUALITY HOTEL,1,7,2021,Calefer M,"I had a reservation for a 2 bed room. The front woman  Yeslin told me she had no more rooms available and gave me room 20 which is not a room is a cage. So small the light of the hallway is in your eyes all night long since curtain is smaller. Noise all night   No soap nor towels Had to ask for them and of course the guy wants a tip regardless it should be there. Yislem the front woman is disrespectful and trained to lie to the guests . She should of told me the truth that my room was sold out and the only room they had was the cage (20) .   Next morning I talked to the manager Carla she could not do much and she said that I could have a better room for double the price but I chose not to . LIE they never showed me nor offered me another room nor should I have to pay more. Deceiving information. This people Don’t honor the booking website rate . That is aTHEFT and disloyal competition since you don’t get to  book with hotels that are serous and honor the rates.  NEVER had I encountered this.  Awful staff clearly trained to be arrogant and play along with the scheme .   Had to get in contact with The “director “ Armando Lopez . He was so arrogant on the phone said he was driving and would call me back ... never did . How about pulling aside and listening the side of the guest ??? He clearly doesn’t care .   A cave of unprofessional staff led by a careless arrogant management style that give Guanajuato a bad name because of this people. Never seen this , even their responses to other guests here are outrageous.    STAY AWAY there are plenty of good decent hotel management in town.  My rate for the room they gave me is  $75 US dlls and they charged me $2500 pesos. A rip off . How many people do they do this and get away with it . Shameful.…","Responded Aug 2, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Aug 2, 2021",Dear guest: We appreciate your comments and regret you did not have a pleasant experience in our hotel.
872,Loved it so much ,5,5,2021,lauralety,"Gorgeous architecture, completely remodeled yet kept the classic details of a colonial place. Impecable, clean and full of awesome details.  The pool is gorgeous. Cold and great for photos.  The rooms are very comfortable, beds are great and everything is super clean.  The staff is very friendly and helpful. Super attentive. Great spot to be your base to explore this amazing city. This hotel is right in the middle of it all. Whatever you want or need is a couple of minutes away.  Accessible friendly.  We only had breakfasts in the hotel and it was very nice. Fresh and well served. I highly recommend this place to stay in Guanajuato. ","Responded Aug 2, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Aug 2, 2021","Dear guest: Your comments are very much appreciated, we are delighted your enjoyed your stay with us, and hope to be the hotel of your choice during your next visit."
873,Nice hotel...shame about the wifi.,3,3,2021,RS81_12,"A nice clean hotel right in the historic centre. The room was nice, the service good and the little pool was welcome. When we arrived the wifi in the hotel was not working. Due to remote working we had checked that wifi was available and included before travelling so we were disappointed that for the entire 4 days of our stay there was no consistent internet. We reported it a number of times but it did not improve. The hotel has a spa which offers a good service but it is directly above the lobby and next to the entrance so do not expect a particularly quiet experience.","Responded Mar 22, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Mar 22, 2021","Dear guest:  Thank you so much for your comments, we are happy you enjoyed the hotel and we are very sorry for the inconvenience of the internet, rest assured every effort was made to make it fully operational, however, sometimes there as situations beyond our capabilities. We look forward to your next visit. "
874,Valentine’s Day Stay ,4,2,2021,Blas E,"Spent the night here on Valentine’s day due to my flight being cancelled.  The hotel is a nice boutique hotel at the center of the action.  The city center is right around the corner.  Plenty to do around this area.  The park was vibrant with musicians and mariachis the evening I was there.  Plenty of restaurants close by to choose from.  Starbucks is very close to hotel.   The restaurant at the hotel is a good place to start the day and have breakfast.  The rooms were above average and we had no issues with noise.  Walking distance to Juarez theatre, Jardín de la reunion, home of artist Diego Rivera, University of Guanajuato, etc.  I recommend this hotel.  ","Responded Mar 1, 2021","Response from PJs Marketing Mexico Ecommerce Managers, Agencia/Consultora at Edelmira Hotel BoutiqueResponded Mar 1, 2021","Dear guest: Thank you so much for your comments, we are happy you were able to enjoy your last night in Guanajuato with us, hope to see you back soon."
875,Right in the center,4,12,2019,Perla O,"Excellent location right in the center of Guanajuato. You are in walking distance to every tourist attraction. Very clean. Rooms are spacious with comfortable beds. Bathroom was nice. You have to remember that you are staying in a very old and colonial building and that translates into being rustic and not sound proof. If people are walking in the hallway you hear everything (that’s why I gave it 4 stars). No a/c. But it didn’t bother us. The breakfast was included and you walk a block to their partner hotel (Hotel Don Lucas) The food is absolutely wonderful!! Chilaquiles, eggs, beans, pancakes, fruit, bread, yogurt, cereal and more!!! The staff was very friendly and respectful. We booked the city tour with them and it was very good.","Responded Dec 12, 2019","Response from GrupoLeyendas, Director de Recepción at Hotel Santa ReginaResponded Dec 12, 2019","Hello dear Perla, Thank you very much for your positive review .We will look for ways to control hall noise. It is a great satisfaction when our effort is manifested in a happy guest. Hope to see you soon."
876,Clean and Convient,5,11,2019,Rachel C,"This was a pleasant stay for the price, it was clean and within walking distance of what the city has to offer. The hotel provided a tv, shampoo, soap, a hair dryer, bottle water, sewing kit, shower cap, q-tips, and shoe polish kit. The room we stayed in was room #21, had two floors and one ceiling fan that was on the second floor. I didn't see air conditioning. It can be loud due its location. We arrived during the day of the dead celebration and this hotel is literally next to the tunnel that held part of the celebration. If you look outside the window you can see the people walking in the tunnel for the celebrations. I provided pictures of the tunnel and luckily I had ear plugs. The check in was quick and we set up a ride for 5:00 a.m. to the airport the following morning. Check out was a breeze and the staff was nice. Our ride arrived on time and the cost to the airport was 550 pesos. …","Responded Nov 5, 2019","Response from GrupoLeyendas, Director de Relaciones con Clientes at Hotel Santa ReginaResponded Nov 5, 2019",Hello dear Raquel! Thank you very much for your comments. We are sure that they will be very useful for travelers. Hope to see you soon.
877,Noisy,3,7,2019,Gusiluz,"The hotel is perfectly located (mainly if you are not driving as the traffic is a chaos and they have no parking) and rooms are decent. On the other side, the hotel is very noisy and you can hear people talking and shouting along the night (including people in the reception). One of the days, the room service was not completed around 6pm.","Responded Jul 30, 2019","Response from GrupoLeyendas, Reservaciones at Hotel Santa ReginaResponded Jul 30, 2019","Hello Gusiluz, We appreciate and respect your opinion! We hope to have the opportunity to assist you again to correct the disagreements, we will take your recommendations to continue improving. "
878,Stay somewhere else,1,4,2019,Dannybonaducci,The room smelled like urine and was extremely noisy.  I asked for a different room or a refund and they said no and to call Expedia.  Expedia would not refund either and blamed the hotel.  Do not stay here.    ,"Responded May 7, 2019","Response from GrupoLeyendas, Director de Relaciones con Clientes at Hotel Santa ReginaResponded May 7, 2019","We appreciate and respect your opinion, we regret what happened! We hope to have the opportunity to assist you again to correct the disagreements."
